,title,handle,price,sku,quantity,available
30,Worktable (30x60) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x60-430s-s-top-gal-undershelf-legs,177.99,EW3060,1,True
31,Worktable (30x48) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x48-430s-s-top-gal-undershelf-legs,159.99,EW3048,1,True
32,Worktable (30x36) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x36-430s-s-top-gal-undershelf-legs,134.99,EW3036,1,True
33,Worktable (30x30) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-30x30-430s-s-top-gal-undershelf-legs,118.99,EW3030,1,True
34,Worktable (24x96) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x96-430s-s-top-gal-undershelf-legs,231.99,EW2496,1,True
35,Worktable (24x84) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x84-430s-s-top-gal-undershelf-legs,210.99,EW2484,1,True
36,Worktable (24x72) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x72-430s-s-top-gal-undershelf-legs,188.99,EW2472,1,True
37,Worktable (24x60) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x60-430s-s-top-gal-undershelf-legs,168.99,EW2460,1,True
38,Worktable (24x48) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x48-430s-s-top-gal-undershelf-legs,140.99,EW2448,1,True
39,Worktable (24x36) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x36-430s-s-top-gal-undershelf-legs,120.99,EW2436,1,True
40,Worktable (24x30) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x30-430s-s-top-gal-undershelf-legs,110.99,EW2430,1,True
41,Worktable (24x24) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x24-430s-s-top-gal-undershelf-legs,100.99,EW2424,1,True
42,Worktable (24x18) 430S/S Top Gal. Undershelf & Legs,https://bestwareshop.com/products/worktable-24x18-430s-s-top-gal-undershelf-legs,93.99,EW2418,1,True
43,"3 Comp./No DB, Bowl(24x24) with 3 drain baskets",https://bestwareshop.com/products/3-comp-no-db-bowl24x24-with-3-drain-baskets,725.99,BS3-24-14/N,1,True
44,"3 Comp./2 DB, Bowl(24x24) with 3 drain baskets",https://bestwareshop.com/products/3-comp-2-db-bowl24x24-with-3-drain-baskets,801.99,BS3-24-14/2D,1,True
45,"1 Comp./No DB, Bowl(24x24) Prep. with 1 drain basket",https://bestwareshop.com/products/1-comp-no-db-bowl24x24-prep-with-1-drain-basket,292.99,BSP-24-14,1,True
46,"3 Comp./2 DB, Bowl(18X18) ""Corner Sink""",https://bestwareshop.com/products/3-comp-2-db-bowl18x18-corner-sink,767.99,3C18-12L-2D,1,True
